Stage;Segment;Experience Level;Product Tier;CampaignType;Industry;Market Maturity;Territory;Country;State Province;Created Date;CloseDate;Status;Units;Revenue;ClosePct;Product Name;Product Category;List Price
Negotiation;Mid-Market;Principal;Premium;Digital Ads;Technology;Mature;North America;Canada;Quebec;2024-04-24;2024-07-12;Won;35;52512,61;0,6;Data Migration;Services;1487
Proposal;Mid-Market;Senior;Standard;Digital Ads;Manufacturing;Mature;North America;United States;New York;2024-05-27;2024-07-13;Won;225;55069,25;0,4;ReadingPlus Annual;Software;244
Negotiation;Mid-Market;Mid-Level;Basic;Partner Program;Manufacturing;Mature;North America;Canada;Quebec;2024-06-22;2024-07-13;Won;526;34728,41;0,7;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Senior;Standard;Webinar;Retail;Mature;EMEA;Germany;Berlin;2024-06-14;2024-07-14;Won;225;88639,52;0,4;Installation Service;Services;393
Proposal;Mid-Market;Principal;Premium;Digital Ads;Manufacturing;Mature;North America;Canada;Quebec;2024-06-24;2024-07-17;Won;79;67554,07;0,5;Extended Warranty;Services;855
Prospecting;Mid-Market;Junior;Basic;Webinar;Healthcare;Mature;EMEA;Spain;Catalonia;2024-05-22;2024-07-17;Won;524;67718,66;0,0;Parental Control Suite;Software;129
Negotiation;Mid-Market;Junior;Premium;Webinar;Technology;Mature;EMEA;Denmark;Jylland;2024-05-03;2024-07-17;Won;111;60817,73;0,8;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Mid-Level;Standard;Email Campaign;Education;Mature;EMEA;Spain;Catalonia;2024-07-06;2024-07-18;Lost;224;40568,78;0,1;Office Suite Basic;Software;181
Negotiation;Enterprise;Junior;Standard;Digital Ads;Healthcare;Mature;EMEA;Germany;Berlin;2024-04-22;2024-07-19;Won;390;153570,71;0,6;Installation Service;Services;393
Final Review;Mid-Market;Senior;Basic;Conference;Government;Mature;North America;Canada;Quebec;2024-06-17;2024-07-19;Won;321;37573,32;1,0;Cloud Sync Pro;Software;117
Proposal;Mid-Market;Senior;Basic;Webinar;Healthcare;Mature;EMEA;United Kingdom;England;2024-06-04;2024-07-22;Won;521;67281,41;0,5;Parental Control Suite;Software;129
Negotiation;Mid-Market;Senior;Basic;Partner Program;Manufacturing;Mature;North America;United States;Texas;2024-06-16;2024-07-22;Won;1450;42051,21;0,8;Stylus Pro;Accessories;29
Prospecting;Mid-Market;Junior;Premium;Webinar;Finance;Growth;APAC;Japan;Osaka;2024-06-03;2024-07-23;Lost;94;65778,13;0,1;"Tablet Pro 11"" 128 GB";Devices;694
Negotiation;Enterprise;Senior;Standard;Email Campaign;Manufacturing;Emerging;LATAM;Brazil;São Paulo;2024-07-06;2024-07-24;Won;211;82978,7;0,6;Installation Service;Services;393
Proposal;Mid-Market;Senior;Premium;Email Campaign;Healthcare;Mature;EMEA;United Kingdom;England;2024-04-21;2024-07-24;Won;71;56095,07;0,5;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;Mid-Market;Principal;Basic;Partner Program;Technology;Mature;EMEA;Germany;Hesse;2024-07-15;2024-07-25;Won;405;40551,46;0,1;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Principal;Basic;Partner Program;Manufacturing;Emerging;LATAM;Brazil;São Paulo;2024-05-09;2024-07-25;Won;386;25512,74;0,7;Wireless Charger Pad;Accessories;66
Prospecting;Enterprise;Mid-Level;Premium;Webinar;Retail;Emerging;LATAM;Mexico;Jalisco;2024-05-17;2024-07-25;Lost;125;107558,94;0,0;Extended Warranty;Services;855
Prospecting;Mid-Market;Mid-Level;Premium;Email Campaign;Manufacturing;Mature;North America;United States;New York;2024-06-02;2024-07-27;Won;126;69295,07;0,0;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Senior;Standard;Conference;Government;Growth;APAC;India;Delhi;2024-07-17;2024-07-28;Won;91;35950,32;0,1;Installation Service;Services;393
Proposal;Enterprise;Mid-Level;Premium;Conference;Retail;Emerging;LATAM;Mexico;Mexico City;2024-06-23;2024-07-29;Won;140;97675,01;0,4;"Tablet Pro 11"" 128 GB";Devices;694
Qualification;Mid-Market;Mid-Level;Premium;Email Campaign;Government;Growth;APAC;India;Karnataka;2024-05-30;2024-07-29;Won;50;35055,42;0,3;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Junior;Basic;Email Campaign;Finance;Mature;North America;United States;Texas;2024-06-22;2024-07-30;Lost;705;60639,71;0,6;Travel Adapter Kit;Accessories;86
Prospecting;Mid-Market;Senior;Basic;Partner Program;Education;Mature;EMEA;Denmark;Hovedstaden;2024-06-21;2024-07-30;Lost;924;26808,88;0,2;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Mid-Level;Basic;Digital Ads;Technology;Mature;North America;Canada;Quebec;2024-06-21;2024-07-30;Won;274;35456,06;0,7;Parental Control Suite;Software;129
Prospecting;Mid-Market;Principal;Premium;Partner Program;Healthcare;Growth;APAC;India;Karnataka;2024-06-09;2024-08-04;Won;40;28424,52;0,1;"Tablet Pro 11"" 128 GB";Devices;694
Negotiation;Mid-Market;Senior;Premium;Partner Program;Manufacturing;Mature;North America;United States;California;2024-07-14;2024-08-07;Lost;61;42898,59;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Qualification;Mid-Market;Senior;Premium;Webinar;Education;Mature;North America;Canada;Ontario;2024-07-06;2024-08-07;Lost;53;79830,5;0,3;Data Migration;Services;1487
Negotiation;Mid-Market;Junior;Premium;Digital Ads;Government;Mature;North America;United States;Washington;2024-05-02;2024-08-08;Lost;54;37698,01;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Senior;Basic;Email Campaign;Finance;Mature;EMEA;Spain;Madrid;2024-07-30;2024-08-08;Lost;1119;73912,17;0,4;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Principal;Basic;Email Campaign;Finance;Mature;EMEA;Germany;Hesse;2024-07-05;2024-08-09;Won;731;73185,48;0,5;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Mid-Level;Basic;Email Campaign;Education;Mature;EMEA;Spain;Madrid;2024-07-06;2024-08-11;Won;518;34235,7;0,7;Wireless Charger Pad;Accessories;66
Prospecting;Mid-Market;Mid-Level;Basic;Email Campaign;Healthcare;Mature;EMEA;Germany;Bavaria;2024-07-02;2024-08-12;Won;437;56471,29;0,0;Parental Control Suite;Software;129
Negotiation;Mid-Market;Principal;Basic;Conference;Retail;Mature;North America;United States;New York;2024-04-10;2024-08-12;Won;664;43842,22;0,6;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Senior;Basic;Partner Program;Technology;Mature;North America;United States;Texas;2024-05-28;2024-08-12;Lost;371;43517,34;0,6;Cloud Sync Pro;Software;117
Proposal;Mid-Market;Mid-Level;Premium;Email Campaign;Healthcare;Mature;EMEA;Germany;Bavaria;2024-06-25;2024-08-12;Won;99;54196,03;0,5;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Mid-Level;Basic;Webinar;Healthcare;Growth;APAC;Japan;Tokyo;2024-07-05;2024-08-13;Lost;2370;68731,63;0,0;Stylus Pro;Accessories;29
Prospecting;Enterprise;Senior;Basic;Digital Ads;Finance;Mature;EMEA;United Kingdom;England;2024-07-15;2024-08-13;Lost;840;84045,55;0,0;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Premium;Webinar;Finance;Mature;North America;Canada;British Columbia;2024-06-29;2024-08-13;Won;116;63569,23;0,7;Smart Speaker Max;Devices;546
Qualification;Mid-Market;Senior;Basic;Conference;Manufacturing;Emerging;LATAM;Brazil;Rio de Janeiro;2024-07-26;2024-08-14;Lost;412;35507;0,3;Travel Adapter Kit;Accessories;86
Negotiation;Mid-Market;Senior;Basic;Conference;Finance;Mature;EMEA;Spain;Madrid;2024-06-05;2024-08-16;Won;553;71389,98;0,7;Parental Control Suite;Software;129
Negotiation;Mid-Market;Senior;Premium;Digital Ads;Manufacturing;Mature;EMEA;Denmark;Hovedstaden;2024-07-11;2024-08-16;Won;50;70217,69;0,7;Onsite Training;Services;1382
Qualification;Mid-Market;Mid-Level;Premium;Conference;Technology;Emerging;LATAM;Mexico;Jalisco;2024-06-30;2024-08-16;Lost;95;78398,46;0,3;Premium Support;Services;819
Proposal;Enterprise;Junior;Premium;Digital Ads;Retail;Growth;APAC;India;Maharashtra;2024-07-18;2024-08-16;Won;133;113945,72;0,5;Extended Warranty;Services;855
Final Review;Mid-Market;Junior;Basic;Email Campaign;Finance;Mature;North America;Canada;Quebec;2024-07-01;2024-08-16;Lost;1689;48993,16;0,9;Stylus Pro;Accessories;29
Proposal;Mid-Market;Mid-Level;Basic;Webinar;Government;Mature;EMEA;Spain;Madrid;2024-07-22;2024-08-17;Won;409;27055,7;0,6;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Junior;Premium;Digital Ads;Healthcare;Mature;North America;United States;California;2024-07-25;2024-08-17;Lost;66;98643,38;0,6;Data Migration;Services;1487
Prospecting;Mid-Market;Mid-Level;Basic;Partner Program;Manufacturing;Mature;EMEA;Spain;Catalonia;2024-07-20;2024-08-18;Lost;615;65840,9;0,2;Premium Headphones;Accessories;107
Negotiation;Mid-Market;Principal;Standard;Email Campaign;Retail;Mature;EMEA;Denmark;Jylland;2024-07-27;2024-08-18;Lost;370;66983,7;0,7;Office Suite Basic;Software;181
Negotiation;Mid-Market;Junior;Basic;Email Campaign;Manufacturing;Mature;North America;Canada;Ontario;2024-06-05;2024-08-18;Won;1005;29172,9;0,7;Stylus Pro;Accessories;29
Qualification;Enterprise;Mid-Level;Standard;Email Campaign;Manufacturing;Growth;APAC;Australia;New South Wales;2024-07-23;2024-08-18;Lost;404;98619,78;0,3;ReadingPlus Annual;Software;244
Final Review;Mid-Market;Senior;Premium;Partner Program;Manufacturing;Mature;EMEA;Germany;Hesse;2024-06-11;2024-08-19;Won;78;67145,5;0,8;Extended Warranty;Services;855
Qualification;Enterprise;Mid-Level;Premium;Digital Ads;Finance;Mature;North America;Canada;Quebec;2024-07-21;2024-08-19;Lost;114;97753,15;0,3;Extended Warranty;Services;855
Proposal;Mid-Market;Junior;Basic;Webinar;Manufacturing;Mature;EMEA;Spain;Catalonia;2024-08-09;2024-08-19;Lost;368;24328,54;0,5;Wireless Charger Pad;Accessories;66
Negotiation;Mid-Market;Principal;Premium;Email Campaign;Education;Growth;APAC;Japan;Osaka;2024-06-01;2024-08-20;Lost;93;76577,78;0,7;Premium Support;Services;819
Prospecting;Enterprise;Principal;Premium;Partner Program;Manufacturing;Mature;North America;Canada;British Columbia;2024-06-29;2024-08-20;Lost;76;105955,98;0,1;Onsite Training;Services;1382
Negotiation;Mid-Market;Senior;Basic;Email Campaign;Healthcare;Mature;North America;Canada;Ontario;2024-07-19;2024-08-22;Won;764;50454,85;0,6;Wireless Charger Pad;Accessories;66
Qualification;Enterprise;Principal;Premium;Conference;Healthcare;Growth;APAC;India;Maharashtra;2024-07-25;2024-08-23;Lost;165;128774,82;0,3;"E-reader Platinum 8"" 32 GB";Devices;780
Negotiation;Mid-Market;Junior;Basic;Partner Program;Healthcare;Mature;North America;Canada;British Columbia;2024-06-02;2024-08-23;Won;1488;43176,97;0,8;Stylus Pro;Accessories;29
Prospecting;Enterprise;Junior;Basic;Partner Program;Retail;Growth;APAC;Japan;Tokyo;2024-07-27;2024-08-23;Lost;814;95323,81;0,1;Cloud Sync Pro;Software;117
Prospecting;Mid-Market;Mid-Level;Premium;Digital Ads;Manufacturing;Emerging;LATAM;Brazil;São Paulo;2024-04-22;2024-08-25;Lost;85;46462,04;0,0;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Mid-Level;Premium;Digital Ads;Healthcare;Emerging;LATAM;Mexico;Jalisco;2024-07-24;2024-08-26;Lost;42;36435,45;0,1;Extended Warranty;Services;855
Proposal;Mid-Market;Principal;Premium;Partner Program;Healthcare;Growth;APAC;India;Delhi;2024-07-25;2024-08-26;Lost;120;65681,51;0,5;Smart Speaker Max;Devices;546
Proposal;Enterprise;Senior;Premium;Digital Ads;Retail;Mature;North America;United States;Washington;2024-07-12;2024-08-27;Won;137;117913,6;0,5;Extended Warranty;Services;855
Prospecting;Mid-Market;Mid-Level;Basic;Digital Ads;Healthcare;Mature;EMEA;Spain;Catalonia;2024-06-18;2024-08-27;Won;619;79924,12;0,1;Parental Control Suite;Software;129
Prospecting;Enterprise;Junior;Premium;Conference;Education;Mature;North America;Canada;Ontario;2024-05-11;2024-08-28;Won;163;133709,04;0,2;Premium Support;Services;819
Prospecting;Mid-Market;Senior;Premium;Conference;Finance;Mature;EMEA;Spain;Madrid;2024-07-06;2024-08-31;Won;90;62744,05;0,1;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Enterprise;Senior;Premium;Webinar;Manufacturing;Mature;EMEA;Denmark;Jylland;2024-05-20;2024-08-31;Won;74;103623,49;0,5;Onsite Training;Services;1382
Prospecting;Mid-Market;Mid-Level;Premium;Conference;Education;Emerging;LATAM;Mexico;Jalisco;2024-06-24;2024-09-05;Lost;126;68830,16;0,2;Smart Speaker Max;Devices;546
Prospecting;Enterprise;Principal;Standard;Email Campaign;Retail;Mature;North America;United States;Texas;2024-07-12;2024-09-06;Lost;529;84663,8;0,2;Office Suite Enterprise;Software;160
Proposal;Mid-Market;Senior;Standard;Email Campaign;Government;Mature;North America;Canada;Quebec;2024-05-24;2024-09-06;Won;170;41606,42;0,5;ReadingPlus Annual;Software;244
Qualification;Mid-Market;Junior;Premium;Digital Ads;Healthcare;Growth;APAC;Japan;Tokyo;2024-08-27;2024-09-07;Lost;100;69609,67;0,4;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Mid-Level;Premium;Webinar;Manufacturing;Growth;APAC;Australia;New South Wales;2024-08-13;2024-09-08;Lost;44;36234,6;0,4;Premium Support;Services;819
Prospecting;Mid-Market;Junior;Basic;Conference;Healthcare;Emerging;LATAM;Mexico;Jalisco;2024-06-30;2024-09-10;Lost;572;49203,4;0,0;Travel Adapter Kit;Accessories;86
Prospecting;Enterprise;Senior;Standard;Webinar;Finance;Mature;EMEA;Spain;Catalonia;2024-08-24;2024-09-10;Lost;953;172493,94;0,0;Office Suite Basic;Software;181
Negotiation;Mid-Market;Junior;Basic;Email Campaign;Finance;Mature;North America;Canada;Quebec;2024-08-27;2024-09-11;Lost;484;51856,46;0,8;Premium Headphones;Accessories;107
Negotiation;Mid-Market;Junior;Standard;Webinar;Healthcare;Mature;North America;Canada;Quebec;2024-06-14;2024-09-11;Lost;329;59600,06;0,7;Office Suite Basic;Software;181
Negotiation;Mid-Market;Senior;Standard;Conference;Manufacturing;Growth;APAC;India;Karnataka;2024-07-09;2024-09-13;Won;417;66874,67;0,7;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Principal;Premium;Partner Program;Education;Mature;North America;United States;New York;2024-07-23;2024-09-14;Lost;84;65998,68;0,0;"E-reader Platinum 8"" 32 GB";Devices;780
Negotiation;Mid-Market;Principal;Basic;Digital Ads;Manufacturing;Mature;North America;Canada;Ontario;2024-08-28;2024-09-15;Lost;390;25800,42;0,7;Wireless Charger Pad;Accessories;66
Prospecting;Mid-Market;Principal;Premium;Digital Ads;Manufacturing;Mature;EMEA;Denmark;Jylland;2024-07-07;2024-09-16;Lost;91;63329,62;0,2;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Principal;Basic;Partner Program;Technology;Growth;APAC;India;Karnataka;2024-09-01;2024-09-18;Lost;460;39560,34;0,1;Travel Adapter Kit;Accessories;86
Proposal;Enterprise;Senior;Standard;Digital Ads;Healthcare;Mature;North America;United States;New York;2024-08-30;2024-09-19;Lost;410;82453,01;0,5;Smart Speaker Mini;Devices;201
Proposal;Mid-Market;Senior;Basic;Webinar;Retail;Mature;EMEA;Spain;Catalonia;2024-07-30;2024-09-19;Lost;564;48573,22;0,5;Travel Adapter Kit;Accessories;86
Proposal;Enterprise;Mid-Level;Standard;Conference;Education;Growth;APAC;Japan;Osaka;2024-08-16;2024-09-20;Lost;400;97790,01;0,6;ReadingPlus Annual;Software;244
Negotiation;Enterprise;Senior;Basic;Digital Ads;Technology;Mature;EMEA;Spain;Catalonia;2024-08-05;2024-09-21;Won;1064;106494,55;0,8;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Mid-Level;Premium;Partner Program;Manufacturing;Mature;North America;Canada;Quebec;2024-09-03;2024-09-21;Won;54;75591,78;0,6;Onsite Training;Services;1382
Prospecting;Enterprise;Mid-Level;Premium;Partner Program;Healthcare;Mature;North America;United States;Texas;2024-07-21;2024-09-22;Lost;141;98492,71;0,0;"Tablet Pro 11"" 128 GB";Devices;694
Final Review;Mid-Market;Senior;Standard;Email Campaign;Finance;Growth;APAC;Japan;Osaka;2024-06-30;2024-09-23;Won;368;58956,18;0,8;Office Suite Enterprise;Software;160
Negotiation;Mid-Market;Junior;Standard;Digital Ads;Manufacturing;Mature;North America;United States;New York;2024-08-18;2024-09-23;Won;340;68375,72;0,7;Smart Speaker Mini;Devices;201
Proposal;Mid-Market;Mid-Level;Standard;Partner Program;Finance;Emerging;LATAM;Mexico;Mexico City;2024-08-29;2024-09-24;Won;363;58237,37;0,5;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Senior;Premium;Conference;Technology;Emerging;LATAM;Brazil;Rio de Janeiro;2024-08-28;2024-09-25;Won;79;65483,84;0,1;Premium Support;Services;819
Negotiation;Mid-Market;Junior;Premium;Partner Program;Manufacturing;Growth;APAC;Australia;Victoria;2024-07-04;2024-09-26;Won;41;57986,86;0,6;Onsite Training;Services;1382
Final Review;Enterprise;Senior;Standard;Webinar;Finance;Mature;North America;United States;Texas;2024-08-20;2024-09-27;Won;479;117112,47;0,8;ReadingPlus Annual;Software;244
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Manufacturing;Mature;EMEA;Germany;Bavaria;2024-07-18;2024-09-27;Lost;647;42759,84;0,6;Wireless Charger Pad;Accessories;66
Proposal;Enterprise;Principal;Basic;Webinar;Manufacturing;Mature;North America;Canada;British Columbia;2024-09-01;2024-09-30;Won;1739;173931,76;0,6;"E-reader Lite 6"" 8 GB";Devices;100
Final Review;Mid-Market;Principal;Standard;Email Campaign;Healthcare;Mature;North America;United States;New York;2024-07-29;2024-10-02;Won;255;62225,22;0,9;ReadingPlus Annual;Software;244
Negotiation;Mid-Market;Junior;Basic;Webinar;Finance;Growth;APAC;India;Karnataka;2024-08-22;2024-10-02;Won;398;46624,74;0,6;"Protective Case 6""";Accessories;117
Proposal;Enterprise;Mid-Level;Premium;Conference;Manufacturing;Growth;APAC;Japan;Tokyo;2024-09-11;2024-10-02;Won;135;94100,97;0,6;"Tablet Pro 11"" 128 GB";Devices;694
Qualification;Mid-Market;Principal;Basic;Conference;Healthcare;Mature;North America;United States;Washington;2024-09-07;2024-10-03;Lost;413;53288,93;0,2;Parental Control Suite;Software;129
Final Review;Enterprise;Senior;Premium;Partner Program;Finance;Mature;North America;Canada;British Columbia;2024-09-03;2024-10-04;Won;223;121999,03;1,0;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Senior;Basic;Digital Ads;Finance;Mature;EMEA;United Kingdom;England;2024-08-07;2024-10-04;Lost;1558;45189,6;0,0;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Senior;Basic;Email Campaign;Finance;Mature;North America;Canada;Quebec;2024-08-16;2024-10-07;Won;348;40806,13;0,6;"Protective Case 6""";Accessories;117
Proposal;Enterprise;Senior;Premium;Partner Program;Healthcare;Mature;EMEA;United Kingdom;England;2024-09-05;2024-10-07;Lost;143;122850,84;0,4;Extended Warranty;Services;855
Negotiation;Enterprise;Mid-Level;Premium;Email Campaign;Healthcare;Mature;EMEA;Denmark;Hovedstaden;2024-07-03;2024-10-08;Lost;100;85845,01;0,6;Extended Warranty;Services;855
Proposal;Mid-Market;Senior;Premium;Webinar;Education;Mature;North America;Canada;British Columbia;2024-09-04;2024-10-08;Lost;33;46820,03;0,5;Onsite Training;Services;1382
Qualification;Enterprise;Principal;Premium;Email Campaign;Technology;Mature;North America;United States;Washington;2024-09-09;2024-10-08;Lost;60;89802,46;0,4;Data Migration;Services;1487
Proposal;Mid-Market;Senior;Premium;Webinar;Technology;Growth;APAC;India;Karnataka;2024-09-02;2024-10-09;Lost;39;32700,93;0,4;Premium Support;Services;819
Proposal;Enterprise;Mid-Level;Premium;Partner Program;Manufacturing;Mature;EMEA;Germany;Hesse;2024-09-08;2024-10-12;Lost;85;126685,92;0,4;Data Migration;Services;1487
Proposal;Mid-Market;Principal;Basic;Conference;Finance;Mature;North America;Canada;British Columbia;2024-09-20;2024-10-15;Won;823;70792,49;0,4;Travel Adapter Kit;Accessories;86
Proposal;Enterprise;Senior;Premium;Digital Ads;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2024-10-05;2024-10-16;Won;59;88066,35;0,5;Data Migration;Services;1487
Qualification;Mid-Market;Junior;Basic;Conference;Education;Emerging;LATAM;Brazil;São Paulo;2024-08-15;2024-10-16;Lost;452;52930,3;0,3;"Protective Case 6""";Accessories;117
Prospecting;Mid-Market;Principal;Basic;Digital Ads;Manufacturing;Emerging;LATAM;Brazil;Rio de Janeiro;2024-09-14;2024-10-18;Lost;471;60875,7;0,2;Parental Control Suite;Software;129
Proposal;Enterprise;Mid-Level;Premium;Digital Ads;Finance;Mature;North America;Canada;British Columbia;2024-08-30;2024-10-21;Lost;244;133479,44;0,6;Smart Speaker Max;Devices;546
Prospecting;Mid-Market;Principal;Standard;Partner Program;Technology;Mature;North America;Canada;British Columbia;2024-09-04;2024-10-23;Lost;185;33497,15;0,2;Office Suite Basic;Software;181
Proposal;Mid-Market;Senior;Premium;Webinar;Technology;Growth;APAC;India;Maharashtra;2024-09-05;2024-10-23;Won;59;49092,72;0,4;Premium Support;Services;819
Proposal;Enterprise;Mid-Level;Premium;Digital Ads;Healthcare;Mature;North America;Canada;Ontario;2024-10-08;2024-10-23;Lost;123;183380,59;0,5;Data Migration;Services;1487
Prospecting;Mid-Market;Senior;Standard;Digital Ads;Healthcare;Mature;North America;United States;Washington;2024-07-26;2024-10-23;Lost;171;67471,81;0,1;Installation Service;Services;393
Proposal;Mid-Market;Principal;Standard;Email Campaign;Healthcare;Growth;APAC;India;Karnataka;2024-10-03;2024-10-26;Won;173;68115,19;0,6;Installation Service;Services;393
Qualification;Mid-Market;Junior;Standard;Email Campaign;Government;Mature;North America;Canada;Quebec;2024-09-19;2024-10-26;Won;120;47335,93;0,3;Installation Service;Services;393
Negotiation;Enterprise;Senior;Standard;Digital Ads;Retail;Growth;APAC;Australia;New South Wales;2024-09-06;2024-10-27;Won;210;82880,15;0,6;Installation Service;Services;393
Proposal;Mid-Market;Mid-Level;Basic;Partner Program;Government;Mature;North America;United States;California;2024-07-26;2024-10-28;Won;952;27632,68;0,5;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Senior;Standard;Digital Ads;Finance;Mature;North America;United States;Washington;2024-08-01;2024-10-29;Won;370;59274;0,6;Office Suite Enterprise;Software;160
Prospecting;Enterprise;Principal;Standard;Partner Program;Retail;Growth;APAC;Japan;Tokyo;2024-09-09;2024-10-29;Lost;669;121250,58;0,0;Office Suite Basic;Software;181
Final Review;SMB;Senior;Basic;Partner Program;Government;Growth;APAC;Australia;New South Wales;2024-10-06;2024-10-30;Won;131;14112,44;0,9;Premium Headphones;Accessories;107
Proposal;Mid-Market;Senior;Standard;Partner Program;Finance;Mature;North America;United States;California;2024-09-12;2024-10-30;Lost;295;53535,76;0,4;Office Suite Basic;Software;181
Qualification;Mid-Market;Mid-Level;Standard;Digital Ads;Finance;Mature;North America;Canada;Quebec;2024-10-11;2024-10-30;Won;322;58412,19;0,3;Office Suite Basic;Software;181
Negotiation;Mid-Market;Mid-Level;Basic;Digital Ads;Finance;Growth;APAC;Japan;Osaka;2024-10-07;2024-10-30;Lost;638;74671,47;0,6;"Protective Case 6""";Accessories;117
Qualification;Mid-Market;Senior;Premium;Webinar;Manufacturing;Mature;EMEA;Germany;Berlin;2024-07-28;2024-10-31;Lost;38;57202,51;0,3;Data Migration;Services;1487
Final Review;Mid-Market;Mid-Level;Standard;Digital Ads;Manufacturing;Mature;North America;Canada;British Columbia;2024-08-30;2024-10-31;Won;377;60478,61;0,8;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Mid-Level;Premium;Email Campaign;Technology;Mature;EMEA;United Kingdom;Scotland;2024-09-13;2024-11-02;Lost;30;25388,11;0,0;Premium Support;Services;819
Proposal;Mid-Market;Senior;Premium;Partner Program;Education;Mature;EMEA;Denmark;Hovedstaden;2024-08-28;2024-11-03;Won;58;50071,2;0,5;Extended Warranty;Services;855
Negotiation;Mid-Market;Principal;Standard;Webinar;Manufacturing;Mature;EMEA;Denmark;Jylland;2024-08-25;2024-11-04;Won;280;56401,21;0,6;Smart Speaker Mini;Devices;201
Negotiation;Enterprise;Principal;Basic;Partner Program;Finance;Emerging;LATAM;Brazil;Rio de Janeiro;2024-09-21;2024-11-04;Lost;3055;88608,72;0,7;Stylus Pro;Accessories;29
Prospecting;Mid-Market;Junior;Premium;Email Campaign;Government;Mature;EMEA;Germany;Bavaria;2024-10-08;2024-11-05;Lost;36;53637,24;0,0;Data Migration;Services;1487
Final Review;Enterprise;Senior;Standard;Conference;Retail;Mature;North America;Canada;British Columbia;2024-10-01;2024-11-07;Won;1173;235947,08;0,9;Smart Speaker Mini;Devices;201
Prospecting;Mid-Market;Principal;Premium;Webinar;Manufacturing;Growth;APAC;India;Karnataka;2024-10-28;2024-11-07;Lost;83;64913,06;0,0;"E-reader Platinum 8"" 32 GB";Devices;780
Proposal;Mid-Market;Junior;Standard;Webinar;Manufacturing;Growth;APAC;India;Delhi;2024-10-07;2024-11-08;Lost;347;69837,71;0,4;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Principal;Standard;Email Campaign;Manufacturing;Mature;EMEA;France;Île-de-France;2024-09-29;2024-11-08;Won;213;38689,87;0,8;Office Suite Basic;Software;181
Qualification;Enterprise;Junior;Basic;Partner Program;Healthcare;Mature;North America;United States;Washington;2024-10-18;2024-11-09;Lost;831;83135,08;0,3;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Standard;Digital Ads;Finance;Mature;EMEA;Germany;Hesse;2024-10-28;2024-11-11;Won;379;60728,75;0,6;Office Suite Enterprise;Software;160
Prospecting;Enterprise;Senior;Standard;Conference;Finance;Mature;EMEA;Denmark;Jylland;2024-10-05;2024-11-11;Lost;402;80862,33;0,2;Smart Speaker Mini;Devices;201
Final Review;Mid-Market;Senior;Premium;Conference;Healthcare;Emerging;LATAM;Brazil;São Paulo;2024-10-18;2024-11-11;Won;60;51873,13;0,8;Extended Warranty;Services;855
Prospecting;Mid-Market;Junior;Basic;Digital Ads;Finance;Mature;North America;Canada;Ontario;2024-10-19;2024-11-12;Lost;1755;50915,37;0,0;Stylus Pro;Accessories;29
Qualification;Mid-Market;Senior;Premium;Conference;Technology;Growth;APAC;India;Delhi;2024-10-27;2024-11-12;Lost;63;44047,09;0,3;"Tablet Pro 11"" 128 GB";Devices;694
Qualification;SMB;Principal;Standard;Conference;Manufacturing;Mature;EMEA;United Kingdom;Scotland;2024-08-16;2024-11-13;Won;78;19155,71;0,3;ReadingPlus Annual;Software;244
Proposal;Mid-Market;Junior;Standard;Partner Program;Finance;Growth;APAC;Australia;Victoria;2024-09-17;2024-11-14;Won;174;42659,88;0,5;ReadingPlus Annual;Software;244
Proposal;Mid-Market;Principal;Basic;Webinar;Healthcare;Emerging;LATAM;Brazil;Rio de Janeiro;2024-09-10;2024-11-15;Lost;605;70813,25;0,6;"Protective Case 6""";Accessories;117
